date,City,State,Year,month1,Month,Year-Month,Num_reviews
2020-01-18,New York,New York,2020,1,01,2020-01,398
2020-01-19,Chicago,Illinois,2020,1,01,2020-01,312
2020-01-19,Hawaii,Hawaii,2020,1,01,2020-01,587
2020-01-19,Las Vegas,Nevada,2020,1,01,2020-01,401
2020-01-19,Los Angeles,California,2020,1,01,2020-01,1079
2020-01-19,New York,New York,2020,1,01,2020-01,781
2020-01-20,Chicago,Illinois,2020,1,01,2020-01,294
2020-01-20,Hawaii,Hawaii,2020,1,01,2020-01,683
2020-01-20,Las Vegas,Nevada,2020,1,01,2020-01,540
2020-01-20,Los Angeles,California,2020,1,01,2020-01,1250
2020-01-20,New York,New York,2020,1,01,2020-01,773
2020-01-21,Chicago,Illinois,2020,1,01,2020-01,109
2020-01-21,Hawaii,Hawaii,2020,1,01,2020-01,621
2020-01-21,Las Vegas,Nevada,2020,1,01,2020-01,197
2020-01-21,Los Angeles,California,2020,1,01,2020-01,708
2020-01-21,New York,New York,2020,1,01,2020-01,348
2020-01-22,Chicago,Illinois,2020,1,01,2020-01,58
2020-01-22,Hawaii,Hawaii,2020,1,01,2020-01,584
2020-01-22,Las Vegas,Nevada,2020,1,01,2020-01,147
2020-01-22,Los Angeles,California,2020,1,01,2020-01,599
2020-01-22,New York,New York,2020,1,01,2020-01,259
2020-01-23,Chicago,Illinois,2020,1,01,2020-01,52
2020-01-23,Hawaii,Hawaii,2020,1,01,2020-01,545
2020-01-23,Las Vegas,Nevada,2020,1,01,2020-01,303
2020-01-23,Los Angeles,California,2020,1,01,2020-01,518
2020-01-23,New York,New York,2020,1,01,2020-01,264
2020-01-24,Chicago,Illinois,2020,1,01,2020-01,67
2020-01-24,Hawaii,Hawaii,2020,1,01,2020-01,565
2020-01-24,Las Vegas,Nevada,2020,1,01,2020-01,318
2020-01-24,Los Angeles,California,2020,1,01,2020-01,694
2020-01-24,New York,New York,2020,1,01,2020-01,305
2020-01-25,Chicago,Illinois,2020,1,01,2020-01,95
2020-01-25,Hawaii,Hawaii,2020,1,01,2020-01,629
2020-01-25,Las Vegas,Nevada,2020,1,01,2020-01,289
2020-01-25,Los Angeles,California,2020,1,01,2020-01,684
2020-01-25,New York,New York,2020,1,01,2020-01,317
2020-01-26,Chicago,Illinois,2020,1,01,2020-01,388
2020-01-26,Hawaii,Hawaii,2020,1,01,2020-01,590
2020-01-26,Las Vegas,Nevada,2020,1,01,2020-01,518
2020-01-26,Los Angeles,California,2020,1,01,2020-01,1163
2020-01-26,New York,New York,2020,1,01,2020-01,706
2020-01-27,Chicago,Illinois,2020,1,01,2020-01,120
2020-01-27,Hawaii,Hawaii,2020,1,01,2020-01,575
2020-01-27,Las Vegas,Nevada,2020,1,01,2020-01,320
2020-01-27,Los Angeles,California,2020,1,01,2020-01,966
2020-01-27,New York,New York,2020,1,01,2020-01,433
2020-01-28,Chicago,Illinois,2020,1,01,2020-01,88
2020-01-28,Hawaii,Hawaii,2020,1,01,2020-01,563
2020-01-28,Las Vegas,Nevada,2020,1,01,2020-01,170
2020-01-28,Los Angeles,California,2020,1,01,2020-01,682
2020-01-28,New York,New York,2020,1,01,2020-01,247
2020-01-29,Chicago,Illinois,2020,1,01,2020-01,64
2020-01-29,Hawaii,Hawaii,2020,1,01,2020-01,512
2020-01-29,Las Vegas,Nevada,2020,1,01,2020-01,143
2020-01-29,Los Angeles,California,2020,1,01,2020-01,612
2020-01-29,New York,New York,2020,1,01,2020-01,259
2020-01-30,Chicago,Illinois,2020,1,01,2020-01,48
2020-01-30,Hawaii,Hawaii,2020,1,01,2020-01,533
2020-01-30,Las Vegas,Nevada,2020,1,01,2020-01,169
2020-01-30,Los Angeles,California,2020,1,01,2020-01,591
2020-01-30,New York,New York,2020,1,01,2020-01,271
2020-01-31,Chicago,Illinois,2020,1,01,2020-01,122
2020-01-31,Hawaii,Hawaii,2020,1,01,2020-01,584
2020-01-31,Las Vegas,Nevada,2020,1,01,2020-01,211
2020-01-31,Los Angeles,California,2020,1,01,2020-01,809
2020-01-31,New York,New York,2020,1,01,2020-01,444
2020-02-01,Chicago,Illinois,2020,2,02,2020-02,130
2020-02-01,Hawaii,Hawaii,2020,2,02,2020-02,555
2020-02-01,Las Vegas,Nevada,2020,2,02,2020-02,139
2020-02-01,Los Angeles,California,2020,2,02,2020-02,714
2020-02-01,New York,New York,2020,2,02,2020-02,418
2020-02-02,Chicago,Illinois,2020,2,02,2020-02,370
2020-02-02,Hawaii,Hawaii,2020,2,02,2020-02,488
2020-02-02,Las Vegas,Nevada,2020,2,02,2020-02,426
2020-02-02,Los Angeles,California,2020,2,02,2020-02,1135
2020-02-02,New York,New York,2020,2,02,2020-02,717
2020-02-03,Chicago,Illinois,2020,2,02,2020-02,137
2020-02-03,Hawaii,Hawaii,2020,2,02,2020-02,542
2020-02-03,Las Vegas,Nevada,2020,2,02,2020-02,325
2020-02-03,Los Angeles,California,2020,2,02,2020-02,806
2020-02-03,New York,New York,2020,2,02,2020-02,412
2020-02-04,Chicago,Illinois,2020,2,02,2020-02,68
2020-02-04,Hawaii,Hawaii,2020,2,02,2020-02,535
2020-02-04,Las Vegas,Nevada,2020,2,02,2020-02,194
2020-02-04,Los Angeles,California,2020,2,02,2020-02,560
2020-02-04,New York,New York,2020,2,02,2020-02,270
2020-02-05,Chicago,Illinois,2020,2,02,2020-02,64
2020-02-05,Hawaii,Hawaii,2020,2,02,2020-02,537
2020-02-05,Las Vegas,Nevada,2020,2,02,2020-02,137
2020-02-05,Los Angeles,California,2020,2,02,2020-02,505
2020-02-05,New York,New York,2020,2,02,2020-02,250
2020-02-06,Chicago,Illinois,2020,2,02,2020-02,92
2020-02-06,Hawaii,Hawaii,2020,2,02,2020-02,537
2020-02-06,Las Vegas,Nevada,2020,2,02,2020-02,189
2020-02-06,Los Angeles,California,2020,2,02,2020-02,551
2020-02-06,New York,New York,2020,2,02,2020-02,258
2020-02-07,Chicago,Illinois,2020,2,02,2020-02,78
2020-02-07,Hawaii,Hawaii,2020,2,02,2020-02,525
2020-02-07,Las Vegas,Nevada,2020,2,02,2020-02,271
2020-02-07,Los Angeles,California,2020,2,02,2020-02,705
2020-02-07,New York,New York,2020,2,02,2020-02,335
2020-02-08,Chicago,Illinois,2020,2,02,2020-02,121
2020-02-08,Hawaii,Hawaii,2020,2,02,2020-02,611
2020-02-08,Las Vegas,Nevada,2020,2,02,2020-02,242
2020-02-08,Los Angeles,California,2020,2,02,2020-02,649
2020-02-08,New York,New York,2020,2,02,2020-02,400
2020-02-09,Chicago,Illinois,2020,2,02,2020-02,382
2020-02-09,Hawaii,Hawaii,2020,2,02,2020-02,605
2020-02-09,Las Vegas,Nevada,2020,2,02,2020-02,414
2020-02-09,Los Angeles,California,2020,2,02,2020-02,1293
2020-02-09,New York,New York,2020,2,02,2020-02,893
2020-02-10,Chicago,Illinois,2020,2,02,2020-02,140
2020-02-10,Hawaii,Hawaii,2020,2,02,2020-02,604
2020-02-10,Las Vegas,Nevada,2020,2,02,2020-02,267
2020-02-10,Los Angeles,California,2020,2,02,2020-02,1083
2020-02-10,New York,New York,2020,2,02,2020-02,504
2020-02-11,Chicago,Illinois,2020,2,02,2020-02,59
2020-02-11,Hawaii,Hawaii,2020,2,02,2020-02,610
2020-02-11,Las Vegas,Nevada,2020,2,02,2020-02,145
2020-02-11,Los Angeles,California,2020,2,02,2020-02,602
2020-02-11,New York,New York,2020,2,02,2020-02,374
2020-02-12,Chicago,Illinois,2020,2,02,2020-02,92
2020-02-12,Hawaii,Hawaii,2020,2,02,2020-02,537
2020-02-12,Las Vegas,Nevada,2020,2,02,2020-02,114
2020-02-12,Los Angeles,California,2020,2,02,2020-02,603
2020-02-12,New York,New York,2020,2,02,2020-02,349
2020-02-13,Chicago,Illinois,2020,2,02,2020-02,93
2020-02-13,Hawaii,Hawaii,2020,2,02,2020-02,498
2020-02-13,Las Vegas,Nevada,2020,2,02,2020-02,135
2020-02-13,Los Angeles,California,2020,2,02,2020-02,584
2020-02-13,New York,New York,2020,2,02,2020-02,307
2020-02-14,Chicago,Illinois,2020,2,02,2020-02,118
2020-02-14,Hawaii,Hawaii,2020,2,02,2020-02,572
2020-02-14,Las Vegas,Nevada,2020,2,02,2020-02,152
2020-02-14,Los Angeles,California,2020,2,02,2020-02,749
2020-02-14,New York,New York,2020,2,02,2020-02,348
2020-02-15,Chicago,Illinois,2020,2,02,2020-02,208
2020-02-15,Hawaii,Hawaii,2020,2,02,2020-02,642
2020-02-15,Las Vegas,Nevada,2020,2,02,2020-02,229
2020-02-15,Los Angeles,California,2020,2,02,2020-02,904
2020-02-15,New York,New York,2020,2,02,2020-02,571
2020-02-16,Chicago,Illinois,2020,2,02,2020-02,642
2020-02-16,Hawaii,Hawaii,2020,2,02,2020-02,640
2020-02-16,Las Vegas,Nevada,2020,2,02,2020-02,551
2020-02-16,Los Angeles,California,2020,2,02,2020-02,1309
2020-02-16,New York,New York,2020,2,02,2020-02,1024
2020-02-17,Chicago,Illinois,2020,2,02,2020-02,548
2020-02-17,Hawaii,Hawaii,2020,2,02,2020-02,749
2020-02-17,Las Vegas,Nevada,2020,2,02,2020-02,566
2020-02-17,Los Angeles,California,2020,2,02,2020-02,1255
2020-02-17,New York,New York,2020,2,02,2020-02,942
2020-02-18,Chicago,Illinois,2020,2,02,2020-02,133
2020-02-18,Hawaii,Hawaii,2020,2,02,2020-02,673
2020-02-18,Las Vegas,Nevada,2020,2,02,2020-02,234
2020-02-18,Los Angeles,California,2020,2,02,2020-02,737
2020-02-18,New York,New York,2020,2,02,2020-02,472
2020-02-19,Chicago,Illinois,2020,2,02,2020-02,78
2020-02-19,Hawaii,Hawaii,2020,2,02,2020-02,583
2020-02-19,Las Vegas,Nevada,2020,2,02,2020-02,193
2020-02-19,Los Angeles,California,2020,2,02,2020-02,664
2020-02-19,New York,New York,2020,2,02,2020-02,347
2020-02-20,Chicago,Illinois,2020,2,02,2020-02,71
2020-02-20,Hawaii,Hawaii,2020,2,02,2020-02,574
2020-02-20,Las Vegas,Nevada,2020,2,02,2020-02,202
2020-02-20,Los Angeles,California,2020,2,02,2020-02,622
2020-02-20,New York,New York,2020,2,02,2020-02,356
2020-02-21,Chicago,Illinois,2020,2,02,2020-02,100
2020-02-21,Hawaii,Hawaii,2020,2,02,2020-02,560
2020-02-21,Las Vegas,Nevada,2020,2,02,2020-02,193
2020-02-21,Los Angeles,California,2020,2,02,2020-02,778
2020-02-21,New York,New York,2020,2,02,2020-02,407
2020-02-22,Chicago,Illinois,2020,2,02,2020-02,139
2020-02-22,Hawaii,Hawaii,2020,2,02,2020-02,581
2020-02-22,Las Vegas,Nevada,2020,2,02,2020-02,194
2020-02-22,Los Angeles,California,2020,2,02,2020-02,780
2020-02-22,New York,New York,2020,2,02,2020-02,461
2020-02-23,Chicago,Illinois,2020,2,02,2020-02,465
2020-02-23,Hawaii,Hawaii,2020,2,02,2020-02,619
2020-02-23,Las Vegas,Nevada,2020,2,02,2020-02,662
2020-02-23,Los Angeles,California,2020,2,02,2020-02,1287
2020-02-23,New York,New York,2020,2,02,2020-02,936
2020-02-24,Chicago,Illinois,2020,2,02,2020-02,180
