date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-03-03,Cook,Illinois,17031,4,0,2020,3,03,2020-03
2020-03-03,New York City,New York,,2,0,2020,3,03,2020-03
2020-03-04,Los Angeles,California,06037,7,0,2020,3,03,2020-03
2020-03-04,Cook,Illinois,17031,4,0,2020,3,03,2020-03
2020-03-04,New York City,New York,,2,0,2020,3,03,2020-03
2020-03-05,Los Angeles,California,06037,11,0,2020,3,03,2020-03
2020-03-05,Cook,Illinois,17031,5,0,2020,3,03,2020-03
2020-03-05,Clark,Nevada,32003,1,0,2020,3,03,2020-03
2020-03-05,New York City,New York,,4,0,2020,3,03,2020-03
2020-03-06,Los Angeles,California,06037,13,0,2020,3,03,2020-03
2020-03-06,Cook,Illinois,17031,6,0,2020,3,03,2020-03
2020-03-06,Clark,Nevada,32003,1,0,2020,3,03,2020-03
2020-03-06,New York City,New York,,5,0,2020,3,03,2020-03
2020-03-06,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-07,Los Angeles,California,06037,14,0,2020,3,03,2020-03
2020-03-07,Cook,Illinois,17031,6,0,2020,3,03,2020-03
2020-03-07,Clark,Nevada,32003,1,0,2020,3,03,2020-03
2020-03-07,New York City,New York,,12,0,2020,3,03,2020-03
2020-03-07,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-08,Los Angeles,California,06037,14,0,2020,3,03,2020-03
2020-03-08,Cook,Illinois,17031,7,0,2020,3,03,2020-03
2020-03-08,Clark,Nevada,32003,2,0,2020,3,03,2020-03
2020-03-08,New York City,New York,,14,0,2020,3,03,2020-03
2020-03-08,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-09,Los Angeles,California,06037,19,0,2020,3,03,2020-03
2020-03-09,Cook,Illinois,17031,11,0,2020,3,03,2020-03
2020-03-09,Clark,Nevada,32003,2,0,2020,3,03,2020-03
2020-03-09,New York City,New York,,20,0,2020,3,03,2020-03
2020-03-09,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-10,Los Angeles,California,06037,20,0,2020,3,03,2020-03
2020-03-10,Cook,Illinois,17031,17,0,2020,3,03,2020-03
2020-03-10,Clark,Nevada,32003,2,0,2020,3,03,2020-03
2020-03-10,New York City,New York,,37,0,2020,3,03,2020-03
2020-03-10,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-11,Los Angeles,California,06037,28,1,2020,3,03,2020-03
2020-03-11,Cook,Illinois,17031,22,0,2020,3,03,2020-03
2020-03-11,Clark,Nevada,32003,5,0,2020,3,03,2020-03
2020-03-11,New York City,New York,,52,0,2020,3,03,2020-03
2020-03-11,Clark,Washington,53011,1,0,2020,3,03,2020-03
2020-03-12,Los Angeles,California,06037,32,1,2020,3,03,2020-03
2020-03-12,Cook,Illinois,17031,27,0,2020,3,03,2020-03
2020-03-12,Clark,Nevada,32003,8,0,2020,3,03,2020-03
