"","last_scraped","cases_30","deaths_30","cases_60","deaths_60","cases_90","deaths_90"
"1",2021-07-06,30496,496,51144,1192,81557,2660
"2",2021-07-07,32587,503,52716,1192,82757,2612
"3",2021-06-06,20368,600,104531,1957,251629,3910
"4",2021-06-04,22306,643,112086,2022,261931,4023
"5",2021-06-05,21478,603,108404,1971,256780,3959
"6",2021-06-03,23043,660,116602,2073,266815,4073
"7",2021-06-07,19431,576,101103,1889,248213,3869
"8",2021-06-02,24188,685,121065,2138,271539,4146
