"","state","date","total_cases","total_deaths","new_cases","new_deaths"
"130","New York",2021-07-08,1289026,39144,469,2
"131","New York",2021-07-09,1289547,39146,521,2
"132","New York",2021-07-10,1290108,39153,561,7
"133","New York",2021-07-11,1290736,39155,628,2
"134","New York",2021-07-12,1291229,39157,493,2
"135","New York",2021-07-13,1291703,39158,474,1
"136","New York",2021-07-14,1292184,39167,481,9
"137","New York",2021-07-15,1292841,39172,657,5
"138","New York",2021-07-16,1293213,39172,372,0
"139","New York",2021-07-17,1294358,39177,1145,5
"140","New York",2021-07-18,1295145,39186,787,9
"141","New York",2021-07-19,1295846,39190,701,4
"142","New York",2021-07-20,1296631,39194,785,4
"143","New York",2021-07-21,1297322,39199,691,5
"144","New York",2021-07-22,1298472,39205,1150,6
"145","New York",2021-07-23,1299624,39206,1152,1
"146","New York",2021-07-24,1301001,39209,1377,3
"147","New York",2021-07-25,1302354,39211,1353,2
"148","New York",2021-07-26,1303526,39216,1172,5
"149","New York",2021-07-27,1304603,39217,1077,1
"150","New York",2021-07-28,1305727,39227,1124,10
"151","New York",2021-07-29,1307509,39229,1782,2
"152","New York",2021-07-30,1309271,39235,1762,6
"153","New York",2021-07-31,1311446,39244,2175,9
"154","New York",2021-08-01,1313149,39248,1703,4
"155","New York",2021-08-02,1314737,39255,1588,7
"156","New York",2021-08-03,1316767,39267,2030,12
"157","New York",2021-08-04,1318498,39270,1731,3
