"","id","last_scraped","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state"
"2176",20817201,2021-06-05,1,1,TRUE,1,"$31.00",0,0,0,0,2021-05-08,4.8,4.84,4.73,4.94,4.99,4.99,4.78,4,31,"NY"
"2177",20818955,2021-06-04,2,1,FALSE,2,"$60.00",0,0,1,91,2019-05-19,5,5,4.88,5,5,4.5,4.88,1,60,"NY"
"2178",20819116,2021-06-04,0,1,FALSE,2,"$59.00",16,42,72,344,2021-05-23,4.53,4.71,4.7,4.85,4.6,4.57,4.62,5,59,"NY"
"2179",20821762,2021-06-04,3,3,FALSE,6,"$129.00",4,4,11,191,2021-05-03,4.96,4.88,4.92,5,4.94,4.8,4.88,2,129,"NY"
"2180",20825876,2021-06-05,2,NA,TRUE,4,"$80.00",7,11,20,239,2021-05-30,4.87,4.89,4.93,4.86,4.99,4.94,4.71,17,80,"NY"
"2181",20826700,2021-06-04,2,1,TRUE,3,"$118.00",2,8,15,209,2021-06-01,4.76,4.79,4.9,4.84,4.88,4.92,4.75,4,118,"NY"
"2182",20845108,2021-06-04,4,3,FALSE,8,"$151.00",6,15,38,127,2021-05-24,4.69,4.8,4.77,4.88,4.87,4.82,4.66,7,151,"NY"
"2183",20848135,2021-06-05,1,1,FALSE,2,"$65.00",0,0,0,148,2021-04-21,4.81,4.88,4.73,4.91,4.97,4.58,4.8,1,65,"NY"
"2184",20849060,2021-06-04,2,1,FALSE,3,"$180.00",1,11,22,82,2021-05-31,4.94,4.97,4.92,4.96,4.98,4.97,4.84,7,180,"NY"
"2185",20862285,2021-06-05,1,1,FALSE,1,"$45.00",0,0,0,0,2021-05-08,4.67,4.79,4.71,4.83,4.71,4.63,4.75,3,45,"NY"
"2186",20876208,2021-06-05,1,1,FALSE,2,"$45.00",8,30,60,60,2021-05-02,4.4,4.69,4.76,4.76,4.64,4.75,4.58,2,45,"NY"
"2187",20900984,2021-06-06,3,3,TRUE,4,"$525.00",0,4,14,16,2021-05-22,4.97,4.97,4.95,4.96,5,4.95,4.81,10,525,"NY"
"2188",20904409,2021-06-04,1,1,TRUE,2,"$99.00",16,44,74,253,2021-05-26,4.89,4.95,4.88,4.94,4.94,4.8,4.87,10,99,"NY"
"2189",20912583,2021-06-05,2,1,FALSE,4,"$165.00",18,48,78,78,2020-02-29,4.3,4.72,3.96,4.66,4.66,4.4,4.3,1,165,"NY"
"2190",20912594,2021-06-05,3,2,TRUE,6,"$275.00",2,8,35,265,2021-05-28,4.69,4.69,4.55,4.9,4.76,5,4.45,3,275,"NY"
"2191",20915909,2021-06-03,4,2,TRUE,6,"$239.00",0,3,3,3,2021-05-16,4.98,4.98,4.91,5,4.96,4.89,4.84,2,239,"NY"
